NUMIND,CODTIT,NOMTIT,INSCRI,HABILI,CARNDE,FALLEC,PADRON,INA1,INA2,INA3,INA4,HAA1,HAA2,HAA3,HAA4,CDA1,CDA2,CDA3,CDA4,FAA1,FAA2,FAA3,FAA4
1,001,INGENIEROS CIVILES,1110,691,195,0,1,755,73,168,111,492,52,119,27,112,7,20,55,0,0,0,0
225,002,INGENIEROS EN CONSTRUCCIONES,450,295,80,0,1,347,20,73,10,223,13,54,5,59,4,12,5,0,0,0,0
2,003,INGS. EN CONSTRUCCION DE OBRAS,6,2,3,0,1,4,0,2,0,1,0,1,0,2,0,1,0,0,0,0,0
3,004,INGS.EN VIAS DE COMUNICACION,12,5,3,0,1,10,1,0,1,5,0,0,0,3,0,0,0,0,0,0,0
4,005,INGENIEROS HIDRAULICOS,10,4,2,0,1,8,0,0,2,3,0,0,1,1,0,0,1,0,0,0,0
5,006,INGS.EN TELECOMUNICACIONES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,007,INGS.EN CONSTRUCCIONES MECANICAS,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,008,INGS.EN CONSTR.ELECTROMECANICAS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,009,INGENIEROS ELECTROMECANICOS,330,164,75,0,2,227,26,67,10,117,10,37,0,49,7,13,6,0,0,0,0
9,010,INGS.EN ELECTROMECANICA,2,2,0,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,011,INGENIEROS MECANICOS,43,17,6,0,2,29,1,3,10,13,0,0,4,4,0,1,1,0,0,0,0
11,012,INGS.MECANICOS ELECTRICISTAS,7,4,2,0,2,5,0,2,0,4,0,0,0,1,0,1,0,0,0,0,0
12,013,INGS.MECANICOS Y ELECTRICISTAS,5,1,4,0,2,3,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0
13,014,INGS.EN ELECTRONICA Y ELECTRICIDAD,93,38,25,0,2,78,12,3,0,33,4,1,0,21,3,1,0,0,0,0,0
14,015,INGS.EN INSTALACIONES ELECTRICAS,2,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,016,INGS.ELECTRICISTAS OR.INST.ELECTR.,2,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,017,INGENIEROS ELECTRICISTAS,25,7,9,0,2,19,0,0,6,7,0,0,0,5,0,0,4,0,0,0,0
17,018,INGS.ELECTRICISTAS ELECTRONICOS,9,5,3,0,2,6,1,1,1,4,0,1,0,1,1,0,1,0,0,0,0
18,019,INGS.EN ELECTRICIDAD Y ELECTRONICA,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,020,INGENIEROS ELECTRONICOS,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,021,INGENIEROS EN ELECTRONICA,64,23,16,0,2,53,4,3,4,19,2,1,1,13,0,1,2,0,0,0,0
21,022,INGENIEROS SANITARIOS,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,023,INGENIEROS METALURGICOS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,024,INGS.EN PETROQUIMICA Y MINERALOGIA,6,4,1,0,2,2,0,4,0,2,0,2,0,0,0,1,0,0,0,0,0
24,025,INGS.ESPEC.EN PROD. DE PETROLEO,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,026,INGS.DE PETROLEO OR.INDUSTRIALIZ.,5,3,2,0,2,5,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0
26,027,INGS.DE PETROLEO OR. EXPLOTACION,6,2,2,0,2,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
193,028,INGENIEROS DE PETRLEO,34,20,7,0,2,31,1,0,2,19,1,0,0,6,0,0,1,0,0,0,0
27,029,INGENIEROS EN COMBUSTIBLES,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,030,INGS.EN IND.DE LA ALIMENTACION,25,10,11,0,3,6,0,19,0,2,0,8,0,3,0,8,0,0,0,0,0
31,031,INGENIEROS INDUSTRIALES,148,57,39,0,2,111,10,18,9,45,4,5,3,29,2,6,2,0,0,0,0
32,032,INGENIEROS QUIMICOS,107,48,23,0,2,83,8,8,6,39,2,4,3,20,1,0,1,0,0,0,0
33,033,INGENIEROS AGRONOMOS,643,286,106,0,3,511,66,57,9,224,33,28,1,89,5,9,3,0,0,0,0
34,034,INGENIEROS AGROMECANICOS,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,035,INGENIEROS GEOLOGOS,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,036,INGENIEROS DE MINAS,2,0,1,0,5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37,037,INGENIEROS GEOGRAFOS,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,038,INGENIEROS AGRIMENSORES,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,039,INGENIEROS EN RECURSOS HIDRICOS,4,2,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
40,040,INGENIEROS EN INDUSTRIAS QUIMICAS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,041,INGENIEROS FORESTALES,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42,042,INGENIEROS CIVILES E HIDRAULICOS,6,4,2,0,1,5,0,1,0,3,0,1,0,2,0,0,0,0,0,0,0
43,043,INGS.EN PETROLEO ESP. GEOLOGIA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,044,INGENIEROS EN AUTOMOTORES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,045,INGS.EN DIRECCION DE EMPRESAS,3,1,2,0,2,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
46,046,INGS. ELECTRICOS ELECTRONICOS,2,1,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,047,INGENIEROS NAVALES Y MECANICOS,2,0,2,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
48,048,INGS.MCOS.ESP.EN VEHS.DE COMBATE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,049,INGENIEROS MILITARES,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
196,050,INGS.EN ELECTRONICA Y TELECOMUNICAC,5,1,1,0,2,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
208,051,INGS.INDUSTRIALES OR.ELECTRICIDAD,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
212,052,INGENIEROS ELECTRICOS,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,053,INGENIEROS NAVALES,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
229,054,INGENIEROS EN ALIMENTOS,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
197,060,INGS.EN SISTEMAS DE INFORMACION,9,5,3,0,2,7,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0
198,061,INGENIEROS EN COMPUTACION,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224,062,INGENIEROS EN INFORMATICA,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,068,INGENIEROS AGROINDUSTRIALES,1,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
227,069,INGENIEROS EN RECURSOS NATURALES Y MEDIO AMBIENTE,2,1,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
199,070,INGS.EN PRODUCCION AGROPECUARIA,2,1,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
200,071,INGENIEROS ZOOTECNISTAS,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
